game_id,username,opponent,played_at,platform,color,result,opening,eco,game_duration,termination
190e4cc5-bf24-11ef-ab9a-9eae6401000f,ahmedbdk,v1n2k,2024-12-20T22:46:31+00:00,chess.com,white,win,,https://www.chess.com/openings/Four-Knights-Game-Italian-Variation,180,
b232dbbd-bf24-11ef-8c65-e2648401000f,ahmedbdk,Samirtahck,2024-12-20T22:54:37+00:00,chess.com,white,timeout,,https://www.chess.com/openings/Caro-Kann-Defense-Advance-Variation,180,
64c4aa3e-bf25-11ef-9e6b-e5916601000f,ahmedbdk,KANG0415,2024-12-20T22:55:03+00:00,chess.com,black,win,,https://www.chess.com/openings/Scotch-Game-3...exd4-4.Nxd4-Nxd4-5.Qxd4,180,
745e0a86-bf25-11ef-ab9a-9eae6401000f,ahmedbdk,HaammerTime,2024-12-20T23:01:17+00:00,chess.com,black,checkmated,,https://www.chess.com/openings/Petrovs-Defense-3.d3-Nc6,180,
52f205b0-bf26-11ef-8893-df8f3801000f,ahmedbdk,Manuel-Jorge,2024-12-20T23:02:08+00:00,chess.com,white,resigned,,https://www.chess.com/openings/Philidor-Defense-3.Nc3,180,
7345eefd-bf26-11ef-8c65-e2648401000f,ahmedbdk,BattleChessPlayer007,2024-12-20T23:07:32+00:00,chess.com,black,resigned,,https://www.chess.com/openings/Four-Knights-Game,180,
325b2b5a-bf27-11ef-8893-df8f3801000f,ahmedbdk,Mike0493,2024-12-20T23:07:46+00:00,chess.com,white,resigned,,https://www.chess.com/openings/Pirc-Defense-2.d4,180,
d28894f1-bf2b-11ef-aa66-6dda8e01000f,ahmedbdk,muffinrose,2024-12-20T23:47:00+00:00,chess.com,white,timeout,,https://www.chess.com/openings/Alapin-Sicilian-Defense-2...Nc6-3.d4,180,
b77c0843-bf2c-11ef-9e6b-e5916601000f,ahmedbdk,joseluisquezadaberrezueta,2024-12-20T23:50:06+00:00,chess.com,black,resigned,,https://www.chess.com/openings/Colle-System,180,
25424bd9-bf2d-11ef-ab9a-9eae6401000f,ahmedbdk,ChokesTheQueen,2024-12-20T23:53:37+00:00,chess.com,white,resigned,,https://www.chess.com/openings/Reti-Opening-Dutch-Variation-2.d3-Nc6-3.e4-e5-4.Nc3,180,
a2b9e516-bf2d-11ef-ab9a-9eae6401000f,ahmedbdk,Astralrez,2024-12-20T23:54:36+00:00,chess.com,black,win,,https://www.chess.com/openings/Queens-Pawn-Opening-Chigorin-Variation-2...Nf6-3.Bf4-Bf5,180,
c701eb79-bf2d-11ef-9e6b-e5916601000f,ahmedbdk,Skypic,2024-12-20T23:56:59+00:00,chess.com,black,resigned,,https://www.chess.com/openings/Giuoco-Piano-Game-Giuoco-Pianissimo-Variation-4...Nf6-5.O-O-d6,180,
1b1a8ba4-bf2e-11ef-aa66-6dda8e01000f,ahmedbdk,ohhhhhhhhffgvf,2024-12-20T23:57:06+00:00,chess.com,white,resigned,,https://www.chess.com/openings/Scandinavian-Defense,180,
1f4b63f6-bf2e-11ef-ab9a-9eae6401000f,ahmedbdk,MezaTable,2024-12-21T00:01:52+00:00,chess.com,black,insufficient,,https://www.chess.com/openings/Giuoco-Piano-Game-Four-Knights-Game,180,
ca3f954c-bf2e-11ef-a3b8-d3148b01000f,ahmedbdk,mrpapiro,2024-12-21T00:06:03+00:00,chess.com,white,win,,https://www.chess.com/openings/Nimzowitsch-Defense-Declined-2...Nf6-3.e5-Nd5,180,
610c7871-bf2f-11ef-8893-df8f3801000f,ahmedbdk,dalegracias,2024-12-21T00:10:00+00:00,chess.com,white,win,,https://www.chess.com/openings/Nimzowitsch-Defense-Scandinavian-Advance-Variation-3...Bf5-4.Nf3-e6,180,
ee01ad1f-bf2f-11ef-ab9a-9eae6401000f,ahmedbdk,MarcoAchille5582,2024-12-21T00:11:31+00:00,chess.com,black,win,,https://www.chess.com/openings/Van-t-Kruijs-Opening-1...e5,180,
7cdd3417-bf38-11ef-82f6-6cfe544c0428,ahmedbdk,podolskivlad,2024-12-21T01:13:42+00:00,chess.com,black,win,,https://www.chess.com/openings/Kings-Gambit-2...d6,60+1,
01390625-bf39-11ef-82f6-6cfe544c0428,ahmedbdk,joya2885,2024-12-21T01:16:45+00:00,chess.com,white,checkmated,,https://www.chess.com/openings/Three-Knights-Opening,60+1,
4192de9b-bf39-11ef-82f6-6cfe544c0428,ahmedbdk,brendoknowschess,2024-12-21T01:17:31+00:00,chess.com,black,resigned,,https://www.chess.com/openings/Queens-Pawn-Opening-Zukertort-Chigorin-Variation-3.Bf4-Nf6,60+1,
5c84e905-bf39-11ef-82f6-6cfe544c0428,ahmedbdk,huggwug,2024-12-21T01:20:30+00:00,chess.com,white,win,,https://www.chess.com/openings/Scandinavian-Defense-2.e5,60+1,
ca2aac93-bf39-11ef-82f6-6cfe544c0428,ahmedbdk,xonyd,2024-12-21T01:23:03+00:00,chess.com,white,resigned,,https://www.chess.com/openings/Scandinavian-Defense-2.e5-c5,60+1,
2486b1ea-bf3a-11ef-82f6-6cfe544c0428,ahmedbdk,Nachtvampir,2024-12-21T01:24:43+00:00,chess.com,white,checkmated,,https://www.chess.com/openings/Alapin-Sicilian-Defense-2...Nc6-3.d4,60+1,
5f34aa9e-bf3a-11ef-82f6-6cfe544c0428,ahmedbdk,KipasGambit,2024-12-21T01:26:56+00:00,chess.com,black,resigned,,https://www.chess.com/openings/Giuoco-Piano-Game-Giuoco-Pianissimo-Italian-Four-Knights-Variation-5...d6,60+1,
b5035f08-bf3a-11ef-82f6-6cfe544c0428,ahmedbdk,elpepe1234567981235,2024-12-21T01:30:33+00:00,chess.com,black,win,,https://www.chess.com/openings/Queens-Pawn-Opening-Zukertort-Chigorin-Variation-3.Bf4-Nf6,60+1,
32aabb3d-bf3b-11ef-82f6-6cfe544c0428,ahmedbdk,Undersiege,2024-12-21T01:33:32+00:00,chess.com,black,win,,https://www.chess.com/openings/Queens-Pawn-Opening-Accelerated-London-System-2...Nf6-3.e3,60+1,
98efc217-bf3b-11ef-82f6-6cfe544c0428,ahmedbdk,Pranav_Gupta_me,2024-12-21T01:35:10+00:00,chess.com,white,win,,https://www.chess.com/openings/Scandinavian-Defense-2.e5,60+1,
d31eeea4-bf3b-11ef-82f6-6cfe544c0428,ahmedbdk,Jaadjr,2024-12-21T01:38:04+00:00,chess.com,white,win,,https://www.chess.com/openings/Nimzowitsch-Defense-Scandinavian-Advance-Variation-3...Bf5-4.Nf3,60+1,
3c2782ea-bf3c-11ef-82f6-6cfe544c0428,ahmedbdk,Isaque159,2024-12-21T01:41:16+00:00,chess.com,white,win,,https://www.chess.com/openings/Four-Knights-Game-Italian-Variation-4...Nxe4-5.Nxe4-d5,60+1,
ad62a271-bf3c-11ef-82f6-6cfe544c0428,ahmedbdk,sidverm,2024-12-21T01:43:53+00:00,chess.com,black,timeout,,https://www.chess.com/openings/Giuoco-Piano-Game-Giuoco-Pianissimo-Variation-4...Nf6,60+1,
0a36ac5f-bf3d-11ef-82f6-6cfe544c0428,ahmedbdk,149141O1,2024-12-21T01:46:09+00:00,chess.com,black,win,,https://www.chess.com/openings/Queens-Gambit-Declined-Chigorin-Defense...4.Nc3-Nf6-5.Bg5-Be7,60+1,
5ee96945-bf3d-11ef-82f6-6cfe544c0428,ahmedbdk,GrandpaJaysol,2024-12-21T01:48:44+00:00,chess.com,white,win,,https://www.chess.com/openings/Caro-Kann-Defense-2.d4,60+1,
b8682de5-bf3d-11ef-82f6-6cfe544c0428,ahmedbdk,Ronsteez,2024-12-21T01:50:07+00:00,chess.com,white,resigned,,https://www.chess.com/openings/Pirc-Defense-Modern-Defense-Geller-System-2...Nf6-3.Nc3-e5-4.Bc4,60+1,
ea057114-bf3d-11ef-82f6-6cfe544c0428,ahmedbdk,TheIQ,2024-12-21T01:50:26+00:00,chess.com,black,resigned,,https://www.chess.com/openings/Queens-Pawn-Opening-Chigorin-Variation-2...Nf6-3.Bf4,60+1,
f79f583c-bf3d-11ef-82f6-6cfe544c0428,ahmedbdk,Zucchinizucchini,2024-12-21T01:53:39+00:00,chess.com,black,win,,https://www.chess.com/openings/Kings-Gambit-2...d6-3.Nf3,60+1,
67789d17-bf3e-11ef-82f6-6cfe544c0428,ahmedbdk,Hodsun8,2024-12-21T01:55:16+00:00,chess.com,black,resigned,,https://www.chess.com/openings/Queens-Gambit-Declined-3.cxd5,60+1,
a270e610-bf3e-11ef-82f6-6cfe544c0428,ahmedbdk,akshatmeshram,2024-12-21T01:57:34+00:00,chess.com,white,win,,https://www.chess.com/openings/Three-Knights-Opening,60+1,
f5674d0f-bf3e-11ef-82f6-6cfe544c0428,ahmedbdk,Hermiitti,2024-12-21T02:01:47+00:00,chess.com,white,win,,https://www.chess.com/openings/Scandinavian-Defense-2.e5,60+1,
8e3976e0-bf3f-11ef-82f6-6cfe544c0428,ahmedbdk,whatisagambit4,2024-12-21T02:03:39+00:00,chess.com,black,win,,https://www.chess.com/openings/Giuoco-Piano-Game-Evans-Gambit-Declined-5.a4-a6,60+1,
ce21efb6-bf3f-11ef-82f6-6cfe544c0428,ahmedbdk,idkbrosomething,2024-12-21T02:07:13+00:00,chess.com,black,win,,https://www.chess.com/openings/Queens-Pawn-Opening-Accelerated-London-System-2...Nf6-3.e3,60+1,
a2923e67-bf40-11ef-82f6-6cfe544c0428,ahmedbdk,Denis_syrpin,2024-12-21T02:12:19+00:00,chess.com,white,win,,https://www.chess.com/openings/Alapin-Sicilian-Defense-2...d6-3.d4,60+1,
045c1dfd-bf41-11ef-82f6-6cfe544c0428,ahmedbdk,CaptainKurama,2024-12-21T02:16:46+00:00,chess.com,white,checkmated,,https://www.chess.com/openings/Dutch-Defense-2.Nf3-g6,60+1,
a23fbc45-bf41-11ef-82f6-6cfe544c0428,ahmedbdk,Gwebb622,2024-12-21T02:17:30+00:00,chess.com,white,resigned,,https://www.chess.com/openings/French-Defense-Knight-Variation,60+1,
9916cf19-bfb1-11ef-a3b8-d3148b01000f,ahmedbdk,alexeyf1,2024-12-21T15:45:03+00:00,chess.com,black,win,,https://www.chess.com/openings/Bishops-Opening-2...Nc6,600,
8f4ee1f0-bfb2-11ef-9e6b-e5916601000f,ahmedbdk,alexeyf1,2024-12-21T16:01:37+00:00,chess.com,white,resigned,,https://www.chess.com/openings/Bishops-Opening-Berlin-Vienna-Hybrid-Variation-4...Bc5-5.Nf3,600,
de368c98-bfb4-11ef-9e6b-e5916601000f,ahmedbdk,alexeyf1,2024-12-21T16:03:30+00:00,chess.com,black,win,,https://www.chess.com/openings/Bishops-Opening,600,
3159a936-bfb5-11ef-9e6b-e5916601000f,ahmedbdk,AlexandreCouto,2024-12-21T16:08:49+00:00,chess.com,black,checkmated,,https://www.chess.com/openings/Van-t-Kruijs-Opening-1...e5-2.Bc4,600,
df7d96ac-bfb5-11ef-9979-bfaef601000f,ahmedbdk,VIAJERO30,2024-12-21T16:17:53+00:00,chess.com,white,resigned,,https://www.chess.com/openings/Alekhines-Defense-Brooklyn-Variation-3.d4,600,
22af518e-bfb7-11ef-8dfa-1d2be601000f,ahmedbdk,PRIA_SIGMAa,2024-12-21T16:21:57+00:00,chess.com,black,win,,https://www.chess.com/openings/Italian-Game-Traxler-Knight-Sacrifice-Line-5...Bxf2-6.Kxf2-Nxe4,600,
c21b15bb-bfb7-11ef-9979-bfaef601000f,ahmedbdk,Mohamed-gamal-156,2024-12-21T16:39:14+00:00,chess.com,white,resigned,,https://www.chess.com/openings/Philidor-Defense-3.Nc3,600,
1ec7afbb-bfba-11ef-8881-70f40c01000f,ahmedbdk,lecomptablelol,2024-12-21T16:42:14+00:00,chess.com,black,win,,https://www.chess.com/openings/Richter-Veresov-Attack,600,
ac97dad0-bfba-11ef-87d0-3c618801000f,ahmedbdk,Reza885,2024-12-21T16:54:36+00:00,chess.com,black,resigned,,https://www.chess.com/openings/Kings-Pawn-Opening-1...e5,600,
